n,t,i,p,u,v
254,1.4000000000000006,2,-,-,-
255,1.4000000000000006,3,0.007744337380502043,0.00014658610621054238,6.643120460022352e-05
256,1.4000000000000006,1,-,-,-
257,1.4000000000000006,2,-,-,-
258,1.4000000000000006,3,0.007365531277185713,0.0001341748300495149,6.089712727270722e-05
259,1.4000000000000006,1,-,-,-
260,1.4000000000000006,2,-,-,-
261,1.4000000000000006,3,0.007801495454657483,0.00014791976021644637,6.718666493525356e-05
262,1.4500000000000006,1,-,-,-
263,1.4500000000000006,2,-,-,-
264,1.4500000000000006,3,0.007403990403590958,0.00013839373460662718,6.196989647441219e-05
265,1.4500000000000006,1,-,-,-
266,1.4500000000000006,2,-,-,-
267,1.4500000000000006,3,0.007053468331552344,0.00012784556505899758,5.529038306843249e-05
268,1.4500000000000006,1,-,-,-
269,1.4500000000000006,2,-,-,-
270,1.4500000000000006,3,0.007473813545916307,0.00014002122785084897,6.0374557279704325e-05
271,1.5000000000000007,1,-,-,-
272,1.5000000000000007,2,-,-,-
273,1.5000000000000007,3,0.0071264792608238285,0.00013151898426023886,5.6210400795527584e-05
274,1.5000000000000007,1,-,-,-
275,1.5000000000000007,2,-,-,-
276,1.5000000000000007,3,0.006810304087575928,0.00012238106147892532,5.1817781960679546e-05
277,1.5000000000000007,1,-,-,-
278,1.5000000000000007,2,-,-,-
279,1.5000000000000007,3,0.007226715344176693,0.00013403229574959554,5.717551919851188e-05
280,1.5500000000000007,1,-,-,-
281,1.5500000000000007,2,-,-,-
282,1.5500000000000007,3,0.006900154747317671,0.0001266416342810296,5.4650602854013726e-05
283,1.5500000000000007,1,-,-,-
284,1.5500000000000007,2,-,-,-
285,1.5500000000000007,3,0.006594220622334377,0.00011828410386418628,5.0429319837950966e-05
286,1.5500000000000007,1,-,-,-
287,1.5500000000000007,2,-,-,-
288,1.5500000000000007,3,0.006984095810365154,0.00012946163158813177,5.5524373693605695e-05
289,1.6000000000000008,1,-,-,-
290,1.6000000000000008,2,-,-,-
291,1.6000000000000008,3,0.006666803944025321,0.00012229129009734953,5.25170372525006e-05
292,1.6000000000000008,1,-,-,-
293,1.6000000000000008,2,-,-,-
294,1.6000000000000008,3,0.006380250153233499,0.0001137303465716176,4.8890694493122226e-05
295,1.6000000000000008,1,-,-,-
296,1.6000000000000008,2,-,-,-
297,1.6000000000000008,3,0.006749375119179994,0.00012350882786352506,5.187373257375998e-05
298,1.6500000000000008,1,-,-,-
299,1.6500000000000008,2,-,-,-
300,1.6500000000000008,3,0.006470459851642854,0.00011602438678268453,4.9041906071006e-05
301,1.6500000000000008,1,-,-,-
302,1.6500000000000008,2,-,-,-
303,1.6500000000000008,3,0.006209996130098579,0.0001083740372900967,4.513489439010521e-05
304,1.6500000000000008,1,-,-,-
305,1.6500000000000008,2,-,-,-
306,1.6500000000000008,3,0.006573740874480068,0.00011866544516759513,4.9423556521421195e-05
307,1.7000000000000008,1,-,-,-
308,1.7000000000000008,2,-,-,-
309,1.7000000000000008,3,0.006311451697462597,0.00011254661733251652,4.782221744130284e-05
310,1.7000000000000008,1,-,-,-
311,1.7000000000000008,2,-,-,-
312,1.7000000000000008,3,0.006053797842001489,0.00010604515868186342,4.382963121189057e-05
313,1.7000000000000008,1,-,-,-
314,1.7000000000000008,2,-,-,-
315,1.7000000000000008,3,0.006390795319115964,0.00011295434078347226,4.8114960833065225e-05
316,1.7500000000000009,1,-,-,-
317,1.7500000000000009,2,-,-,-
318,1.7500000000000009,3,0.006111445265581907,0.00010726826181875654,4.565329309303468e-05
319,1.7500000000000009,1,-,-,-
320,1.7500000000000009,2,-,-,-
